[   78]   fixation ->    saccade (ibdt:129)
[ 2046]    pursuit ->   fixation (ibdt:129)
[ 2047]    pursuit ->   fixation (ibdt:129)
[ 2048]    pursuit ->   fixation (ibdt:129)
[ 2049]    pursuit ->   fixation (ibdt:129)
[ 2050]    pursuit ->   fixation (ibdt:129)
[ 2051]    pursuit ->   fixation (ibdt:129)
[ 2052]    pursuit ->   fixation (ibdt:129)
[ 2053]    pursuit ->   fixation (ibdt:129)
[ 2054]    pursuit ->   fixation (ibdt:129)
[ 2055]    pursuit ->   fixation (ibdt:129)
[ 2056]    pursuit ->   fixation (ibdt:129)
[ 2057]    pursuit ->   fixation (ibdt:129)
[ 2058]    pursuit ->   fixation (ibdt:129)
[ 2059]    pursuit ->   fixation (ibdt:129)
[ 2060]    pursuit ->   fixation (ibdt:129)
[ 2061]    pursuit ->   fixation (ibdt:129)
[ 2062]    pursuit ->   fixation (ibdt:129)
[ 2063]    pursuit ->   fixation (ibdt:129)
[ 2064]    pursuit ->   fixation (ibdt:129)
[ 2065]    pursuit ->   fixation (ibdt:129)
[ 2066]    pursuit ->   fixation (ibdt:129)
[ 2067]    pursuit ->   fixation (ibdt:129)
[ 2068]    pursuit ->   fixation (ibdt:129)
[ 2069]    pursuit ->   fixation (ibdt:129)
[ 2070]    pursuit ->   fixation (ibdt:129)
[ 2071]    pursuit ->   fixation (ibdt:129)
[ 2072]    pursuit ->   fixation (ibdt:129)
[ 2073]    pursuit ->   fixation (ibdt:129)
[ 2074]    pursuit ->   fixation (ibdt:129)
[ 2075]    pursuit ->   fixation (ibdt:129)
[ 2076]    pursuit ->   fixation (ibdt:129)
[ 2077]    pursuit ->   fixation (ibdt:129)
[ 2078]    pursuit ->   fixation (ibdt:129)
[ 2079]    pursuit ->   fixation (ibdt:129)
[ 2080]    pursuit ->   fixation (ibdt:129)
[ 2081]    pursuit ->   fixation (ibdt:129)
[ 2082]    pursuit ->   fixation (ibdt:129)
[ 2083]    pursuit ->   fixation (ibdt:129)
[ 2084]    pursuit ->   fixation (ibdt:129)
[ 2085]    pursuit ->   fixation (ibdt:129)
[ 2086]    pursuit ->   fixation (ibdt:129)
[ 2087]    pursuit ->   fixation (ibdt:129)
[ 2088]    pursuit ->   fixation (ibdt:129)
[ 2089]    pursuit ->   fixation (ibdt:129)
[ 2090]    pursuit ->   fixation (ibdt:129)
[ 2091]    pursuit ->   fixation (ibdt:129)
[ 2092]    pursuit ->   fixation (ibdt:129)
[ 2093]    pursuit ->   fixation (ibdt:129)
[ 2094]    pursuit ->   fixation (ibdt:129)
[ 2095]    pursuit ->   fixation (ibdt:129)
[ 2096]    pursuit ->   fixation (ibdt:129)
[ 2097]    pursuit ->   fixation (ibdt:129)
[ 2098]    pursuit ->   fixation (ibdt:129)
[ 2099]    pursuit ->   fixation (ibdt:129)
[ 2100]    pursuit ->   fixation (ibdt:129)
[ 2101]    pursuit ->   fixation (ibdt:129)
[ 2102]    pursuit ->   fixation (ibdt:129)
[ 2103]    pursuit ->   fixation (ibdt:129)
[ 2104]    pursuit ->   fixation (ibdt:129)
[ 2105]    pursuit ->   fixation (ibdt:129)
[ 2106]    pursuit ->   fixation (ibdt:129)
[ 2107]    saccade ->   fixation (ibdt:129)
[ 2108]    saccade ->   fixation (ibdt:129)
[ 2117]    saccade ->   fixation (ibdt:129)
[ 2118]    saccade ->   fixation (ibdt:129)
[ 2119]    saccade ->   fixation (ibdt:129)
[ 2207]    saccade ->   fixation (ibdt:129)
[ 2208]    saccade ->   fixation (ibdt:129)
[ 2218]    saccade ->   fixation (ibdt:129)
[ 2219]    saccade ->   fixation (ibdt:129)
[ 2339]    saccade ->   fixation (ibdt:129)
[ 2340]    saccade ->   fixation (ibdt:129)
[ 2348]    saccade ->   fixation (ibdt:129)
[ 2349]    saccade ->   fixation (ibdt:129)
[ 2410]    saccade ->   fixation (ibdt:129)
[ 2411]    saccade ->   fixation (ibdt:129)
[ 2412]    saccade ->   fixation (ibdt:129)
[ 2424]    saccade ->   fixation (ibdt:129)
[ 2425]    saccade ->   fixation (ibdt:129)
[ 2478]    saccade ->   fixation (ibdt:129)
[ 2481]    saccade ->   fixation (ibdt:129)
[ 2482]    saccade ->   fixation (ibdt:129)
[ 2483]    saccade ->   fixation (ibdt:129)
[ 2572]    saccade ->   fixation (ibdt:129)
[ 2578]    saccade ->   fixation (ibdt:129)
[ 2579]    saccade ->   fixation (ibdt:129)
[ 2580]    saccade ->   fixation (ibdt:129)
[ 2641]    saccade ->   fixation (ibdt:129)
[ 2646]    saccade ->   fixation (ibdt:129)
[ 2647]    saccade ->   fixation (ibdt:129)
[ 2648]    saccade ->   fixation (ibdt:129)
[ 2680]    saccade ->   fixation (ibdt:129)
[ 2686]    saccade ->   fixation (ibdt:129)
[ 2687]    saccade ->   fixation (ibdt:129)
[ 2688]    saccade ->   fixation (ibdt:129)
[ 2689]    saccade ->   fixation (ibdt:129)
[ 2795]    saccade ->   fixation (ibdt:129)
[ 2796]    saccade ->   fixation (ibdt:129)
[ 2800]    saccade ->   fixation (ibdt:129)
[ 2801]    saccade ->   fixation (ibdt:129)
[ 2802]    saccade ->   fixation (ibdt:129)
[ 2803]    saccade ->   fixation (ibdt:129)
[ 2804]    saccade ->   fixation (ibdt:129)
[ 2946]    saccade ->   fixation (ibdt:129)
[ 2947]    saccade ->   fixation (ibdt:129)
[ 2957]    saccade ->   fixation (ibdt:129)
[ 2958]    saccade ->   fixation (ibdt:129)
[ 3035]    saccade ->   fixation (ibdt:129)
[ 3036]    saccade ->   fixation (ibdt:129)
[ 3037]    saccade ->   fixation (ibdt:129)
[ 3038]    saccade ->   fixation (ibdt:129)
[ 3039]    saccade ->   fixation (ibdt:129)
[ 3040]    saccade ->   fixation (ibdt:129)
[ 3041]    saccade ->   fixation (ibdt:129)
[ 3042]    saccade ->   fixation (ibdt:129)
[ 3043]    pursuit ->   fixation (ibdt:129)
[ 3044]    pursuit ->   fixation (ibdt:129)
[ 3045]    pursuit ->   fixation (ibdt:129)
[ 3046]    pursuit ->   fixation (ibdt:129)
[ 3047]    pursuit ->   fixation (ibdt:129)
[ 3048]    pursuit ->   fixation (ibdt:129)
[ 3049]    pursuit ->   fixation (ibdt:129)
[ 3050]    pursuit ->   fixation (ibdt:129)
[ 3051]    pursuit ->   fixation (ibdt:129)
[ 3052]    pursuit ->   fixation (ibdt:129)
[ 3053]    pursuit ->   fixation (ibdt:129)
[ 3054]    pursuit ->   fixation (ibdt:129)
[ 3055]    pursuit ->   fixation (ibdt:129)
[ 3056]    pursuit ->   fixation (ibdt:129)
[ 3057]    pursuit ->   fixation (ibdt:129)
[ 3058]    pursuit ->   fixation (ibdt:129)
[ 3059]    pursuit ->   fixation (ibdt:129)
[ 3060]    pursuit ->   fixation (ibdt:129)
[ 3061]    pursuit ->   fixation (ibdt:129)
[ 3062]    pursuit ->   fixation (ibdt:129)
[ 3063]    pursuit ->   fixation (ibdt:129)
[ 3064]    pursuit ->   fixation (ibdt:129)
[ 3065]    pursuit ->   fixation (ibdt:129)
[ 3066]    pursuit ->   fixation (ibdt:129)
[ 3067]    pursuit ->   fixation (ibdt:129)
[ 3068]    pursuit ->   fixation (ibdt:129)
[ 3069]    pursuit ->   fixation (ibdt:129)
[ 3070]    pursuit ->   fixation (ibdt:129)
[ 3071]    pursuit ->   fixation (ibdt:129)
[ 3072]    pursuit ->   fixation (ibdt:129)
[ 3073]    pursuit ->   fixation (ibdt:129)
[ 3074]    pursuit ->   fixation (ibdt:129)
[ 3075]    pursuit ->   fixation (ibdt:129)
[ 3076]    pursuit ->   fixation (ibdt:129)
[ 3077]    pursuit ->   fixation (ibdt:129)
[ 3078]    pursuit ->   fixation (ibdt:129)
[ 3079]    pursuit ->   fixation (ibdt:129)
[ 3080]    pursuit ->   fixation (ibdt:129)
[ 3081]    pursuit ->   fixation (ibdt:129)
[ 3082]    pursuit ->   fixation (ibdt:129)
[ 3083]    pursuit ->   fixation (ibdt:129)
[ 3084]    pursuit ->   fixation (ibdt:129)
[ 3085]    pursuit ->   fixation (ibdt:129)
[ 3086]    pursuit ->   fixation (ibdt:129)
[ 3087]    pursuit ->   fixation (ibdt:129)
[ 3088]    pursuit ->   fixation (ibdt:129)
[ 3089]    pursuit ->   fixation (ibdt:129)
[ 3090]    pursuit ->   fixation (ibdt:129)
[ 3091]    pursuit ->   fixation (ibdt:129)
[ 3092]    pursuit ->   fixation (ibdt:129)
[ 3093]    pursuit ->   fixation (ibdt:129)
[ 3094]    pursuit ->   fixation (ibdt:129)
[ 3095]    pursuit ->   fixation (ibdt:129)
[ 3096]    pursuit ->   fixation (ibdt:129)
[ 3097]    pursuit ->   fixation (ibdt:129)
[ 3098]    pursuit ->   fixation (ibdt:129)
[ 3099]    pursuit ->   fixation (ibdt:129)
[ 3100]    pursuit ->   fixation (ibdt:129)
[ 3101]    pursuit ->   fixation (ibdt:129)
[ 3102]    pursuit ->   fixation (ibdt:129)
[ 3103]    pursuit ->   fixation (ibdt:129)
[ 3104]    pursuit ->   fixation (ibdt:129)
[ 3105]    pursuit ->   fixation (ibdt:129)
[ 3106]    pursuit ->   fixation (ibdt:129)
[ 3107]    pursuit ->   fixation (ibdt:129)
[ 3108]    pursuit ->   fixation (ibdt:129)
[ 3109]    pursuit ->   fixation (ibdt:129)
[ 3110]    pursuit ->   fixation (ibdt:129)
[ 3111]    pursuit ->   fixation (ibdt:129)
[ 3112]    pursuit ->   fixation (ibdt:129)
[ 3113]    pursuit ->   fixation (ibdt:129)
[ 3114]    pursuit ->   fixation (ibdt:129)
[ 3115]    pursuit ->   fixation (ibdt:129)
[ 3116]    pursuit ->   fixation (ibdt:129)
[ 3117]    pursuit ->   fixation (ibdt:129)
[ 3118]    pursuit ->   fixation (ibdt:129)
[ 3119]    pursuit ->   fixation (ibdt:129)
[ 3120]    pursuit ->   fixation (ibdt:129)
[ 3121]    pursuit ->   fixation (ibdt:129)
[ 3122]    pursuit ->   fixation (ibdt:129)
[ 3123]    pursuit ->   fixation (ibdt:129)
[ 3124]    pursuit ->   fixation (ibdt:129)
[ 3125]    pursuit ->   fixation (ibdt:129)
[ 3126]    pursuit ->   fixation (ibdt:129)
[ 3127]    pursuit ->   fixation (ibdt:129)
[ 3128]    pursuit ->   fixation (ibdt:129)
[ 3129]    pursuit ->   fixation (ibdt:129)
[ 3130]    pursuit ->   fixation (ibdt:129)
[ 3131]    pursuit ->   fixation (ibdt:129)
[ 3132]    pursuit ->   fixation (ibdt:129)
[ 3133]    pursuit ->   fixation (ibdt:129)
[ 3134]    pursuit ->   fixation (ibdt:129)
[ 3135]    pursuit ->   fixation (ibdt:129)
[ 3136]    pursuit ->   fixation (ibdt:129)
[ 3137]    pursuit ->   fixation (ibdt:129)
[ 3138]    pursuit ->   fixation (ibdt:129)
[ 3139]    pursuit ->   fixation (ibdt:129)
[ 3140]    pursuit ->   fixation (ibdt:129)
[ 3141]    pursuit ->   fixation (ibdt:129)
[ 3142]    pursuit ->   fixation (ibdt:129)
[ 3143]    pursuit ->   fixation (ibdt:129)
[ 3144]    pursuit ->   fixation (ibdt:129)
[ 3145]    pursuit ->   fixation (ibdt:129)
[ 3146]    pursuit ->   fixation (ibdt:129)
[ 3147]    pursuit ->   fixation (ibdt:129)
[ 3148]    pursuit ->   fixation (ibdt:129)
[ 3149]    pursuit ->   fixation (ibdt:129)
[ 3150]    pursuit ->   fixation (ibdt:129)
[ 3151]    pursuit ->   fixation (ibdt:129)
[ 3152]    pursuit ->   fixation (ibdt:129)
[ 3153]    pursuit ->   fixation (ibdt:129)
[ 3154]    pursuit ->   fixation (ibdt:129)
[ 3155]    pursuit ->   fixation (ibdt:129)
[ 3156]    pursuit ->   fixation (ibdt:129)
[ 3157]    pursuit ->   fixation (ibdt:129)
[ 3158]    pursuit ->   fixation (ibdt:129)
[ 3159]    pursuit ->   fixation (ibdt:129)
[ 3160]    pursuit ->   fixation (ibdt:129)
[ 3161]    pursuit ->   fixation (ibdt:129)
[ 3162]    pursuit ->   fixation (ibdt:129)
[ 3163]    pursuit ->   fixation (ibdt:129)
[ 3164]    pursuit ->   fixation (ibdt:129)
[ 3165]    pursuit ->   fixation (ibdt:129)
[ 3166]    pursuit ->   fixation (ibdt:129)
[ 3167]    pursuit ->   fixation (ibdt:129)
[ 3168]    pursuit ->   fixation (ibdt:129)
[ 3169]    pursuit ->   fixation (ibdt:129)
[ 3170]    pursuit ->   fixation (ibdt:129)
[ 3171]    pursuit ->   fixation (ibdt:129)
[ 3172]    pursuit ->   fixation (ibdt:129)
[ 3173]    pursuit ->   fixation (ibdt:129)
[ 3174]    pursuit ->   fixation (ibdt:129)
[ 3175]    pursuit ->   fixation (ibdt:129)
[ 3176]    pursuit ->   fixation (ibdt:129)
[ 3177]    pursuit ->   fixation (ibdt:129)
[ 3178]    pursuit ->   fixation (ibdt:129)
[ 3179]    pursuit ->   fixation (ibdt:129)
[ 3180]    pursuit ->   fixation (ibdt:129)
[ 3181]    pursuit ->   fixation (ibdt:129)
[ 3182]    pursuit ->   fixation (ibdt:129)
[ 3183]    pursuit ->   fixation (ibdt:129)
[ 3184]    pursuit ->   fixation (ibdt:129)
[ 3185]    pursuit ->   fixation (ibdt:129)
[ 3186]    pursuit ->   fixation (ibdt:129)
[ 3187]    pursuit ->   fixation (ibdt:129)
[ 3188]    pursuit ->   fixation (ibdt:129)
[ 3189]    pursuit ->   fixation (ibdt:129)
[ 3190]    pursuit ->   fixation (ibdt:129)
[ 3191]    pursuit ->   fixation (ibdt:129)
[ 3192]    pursuit ->   fixation (ibdt:129)
[ 3193]    pursuit ->   fixation (ibdt:129)
[ 3194]    pursuit ->   fixation (ibdt:129)
[ 3195]    pursuit ->   fixation (ibdt:129)
[ 3196]    pursuit ->   fixation (ibdt:129)
[ 3197]    pursuit ->   fixation (ibdt:129)
[ 3198]    pursuit ->   fixation (ibdt:129)
[ 3199]    pursuit ->   fixation (ibdt:129)
[ 3200]    pursuit ->   fixation (ibdt:129)
[ 3201]    pursuit ->   fixation (ibdt:129)
[ 3202]    pursuit ->   fixation (ibdt:129)
[ 3203]    pursuit ->   fixation (ibdt:129)
[ 3204]    pursuit ->   fixation (ibdt:129)
[ 3205]    pursuit ->   fixation (ibdt:129)
[ 3206]    pursuit ->   fixation (ibdt:129)
[ 3207]    pursuit ->   fixation (ibdt:129)
[ 3208]    pursuit ->   fixation (ibdt:129)
[ 3209]    pursuit ->   fixation (ibdt:129)
[ 3210]    pursuit ->   fixation (ibdt:129)
[ 3211]    pursuit ->   fixation (ibdt:129)
[ 3212]    saccade ->   fixation (ibdt:129)
[ 3217]    saccade ->   fixation (ibdt:129)
[ 3218]    saccade ->   fixation (ibdt:129)
[ 3219]    saccade ->   fixation (ibdt:129)
[ 3292]    saccade ->   fixation (ibdt:129)
[ 3301]    saccade ->   fixation (ibdt:129)
[ 3302]    saccade ->   fixation (ibdt:129)
[ 3303]    saccade ->   fixation (ibdt:129)
[ 3304]    saccade ->   fixation (ibdt:129)
[ 3379]    saccade ->   fixation (ibdt:129)
[ 3385]    saccade ->   fixation (ibdt:129)
[ 3386]    saccade ->   fixation (ibdt:129)
[ 3444]    saccade ->   fixation (ibdt:129)
[ 3445]    saccade ->   fixation (ibdt:129)
[ 3446]    saccade ->   fixation (ibdt:129)
[ 3451]    saccade ->   fixation (ibdt:129)
[ 3452]    saccade ->   fixation (ibdt:129)
[ 3453]    saccade ->   fixation (ibdt:129)
[ 3454]    saccade ->   fixation (ibdt:129)
[ 3455]    pursuit ->   fixation (ibdt:129)
[ 3456]    pursuit ->   fixation (ibdt:129)
[ 3457]    pursuit ->   fixation (ibdt:129)
[ 3458]    pursuit ->   fixation (ibdt:129)
[ 3459]    pursuit ->   fixation (ibdt:129)
[ 3460]    pursuit ->   fixation (ibdt:129)
[ 3461]    pursuit ->   fixation (ibdt:129)
[ 3462]    pursuit ->   fixation (ibdt:129)
[ 3463]    pursuit ->   fixation (ibdt:129)
[ 3464]    pursuit ->   fixation (ibdt:129)
[ 3465]    pursuit ->   fixation (ibdt:129)
[ 3466]    pursuit ->   fixation (ibdt:129)
[ 3467]    pursuit ->   fixation (ibdt:129)
[ 3468]    pursuit ->   fixation (ibdt:129)
[ 3469]    pursuit ->   fixation (ibdt:129)
[ 3470]    pursuit ->   fixation (ibdt:129)
[ 3471]    pursuit ->   fixation (ibdt:129)
[ 3472]    pursuit ->   fixation (ibdt:129)
[ 3473]    pursuit ->   fixation (ibdt:129)
[ 3474]    pursuit ->   fixation (ibdt:129)
[ 3475]    pursuit ->   fixation (ibdt:129)
[ 3476]    pursuit ->   fixation (ibdt:129)
[ 3477]    pursuit ->   fixation (ibdt:129)
[ 3478]    pursuit ->   fixation (ibdt:129)
[ 3479]    pursuit ->   fixation (ibdt:129)
[ 3480]    pursuit ->   fixation (ibdt:129)
[ 3481]    pursuit ->   fixation (ibdt:129)
[ 3482]    pursuit ->   fixation (ibdt:129)
[ 3483]    pursuit ->   fixation (ibdt:129)
[ 3484]    pursuit ->   fixation (ibdt:129)
[ 3485]    pursuit ->   fixation (ibdt:129)
[ 3486]    pursuit ->   fixation (ibdt:129)
[ 3487]    pursuit ->   fixation (ibdt:129)
[ 3488]    pursuit ->   fixation (ibdt:129)
[ 3489]    pursuit ->   fixation (ibdt:129)
[ 3490]    pursuit ->   fixation (ibdt:129)
[ 3491]    pursuit ->   fixation (ibdt:129)
[ 3492]    pursuit ->   fixation (ibdt:129)
[ 3493]    pursuit ->   fixation (ibdt:129)
[ 3494]    pursuit ->   fixation (ibdt:129)
[ 3495]    pursuit ->   fixation (ibdt:129)
[ 3496]    pursuit ->   fixation (ibdt:129)
[ 3497]    pursuit ->   fixation (ibdt:129)
[ 3498]    pursuit ->   fixation (ibdt:129)
[ 3499]    pursuit ->   fixation (ibdt:129)
[ 3500]    pursuit ->   fixation (ibdt:129)
[ 3501]    pursuit ->   fixation (ibdt:129)
[ 3502]    pursuit ->   fixation (ibdt:129)
[ 3503]    pursuit ->   fixation (ibdt:129)
[ 3504]    pursuit ->   fixation (ibdt:129)
[ 3505]    pursuit ->   fixation (ibdt:129)
[ 3506]    pursuit ->   fixation (ibdt:129)
[ 3507]    pursuit ->   fixation (ibdt:129)
[ 3508]    pursuit ->   fixation (ibdt:129)
[ 3509]    pursuit ->   fixation (ibdt:129)
[ 3510]    pursuit ->   fixation (ibdt:129)
[ 3511]    pursuit ->   fixation (ibdt:129)
[ 3512]    pursuit ->   fixation (ibdt:129)
[ 3513]    pursuit ->   fixation (ibdt:129)
[ 3514]    pursuit ->   fixation (ibdt:129)
[ 3515]    pursuit ->   fixation (ibdt:129)
[ 3516]    pursuit ->   fixation (ibdt:129)
[ 3517]    pursuit ->   fixation (ibdt:129)
[ 3518]    pursuit ->   fixation (ibdt:129)
[ 3519]    pursuit ->   fixation (ibdt:129)
[ 3520]    pursuit ->   fixation (ibdt:129)
[ 3521]    pursuit ->   fixation (ibdt:129)
[ 3522]    pursuit ->   fixation (ibdt:129)
[ 3523]    pursuit ->   fixation (ibdt:129)
[ 3524]    pursuit ->   fixation (ibdt:129)
[ 3525]    pursuit ->   fixation (ibdt:129)
[ 3526]    pursuit ->   fixation (ibdt:129)
[ 3527]    pursuit ->   fixation (ibdt:129)
[ 3528]    pursuit ->   fixation (ibdt:129)
[ 3529]    pursuit ->   fixation (ibdt:129)
[ 3530]    pursuit ->   fixation (ibdt:129)
[ 3531]    pursuit ->   fixation (ibdt:129)
[ 3532]    pursuit ->   fixation (ibdt:129)
[ 3533]    pursuit ->   fixation (ibdt:129)
[ 3534]    pursuit ->   fixation (ibdt:129)
[ 3535]    pursuit ->   fixation (ibdt:129)
[ 3536]    pursuit ->   fixation (ibdt:129)
[ 3537]    pursuit ->   fixation (ibdt:129)
[ 3538]    pursuit ->   fixation (ibdt:129)
[ 3539]    pursuit ->   fixation (ibdt:129)
[ 3540]    pursuit ->   fixation (ibdt:129)
[ 3541]    pursuit ->   fixation (ibdt:129)
[ 3542]    pursuit ->   fixation (ibdt:129)
[ 3543]    pursuit ->   fixation (ibdt:129)
[ 3544]    pursuit ->   fixation (ibdt:129)
[ 3545]    pursuit ->   fixation (ibdt:129)
[ 3546]    pursuit ->   fixation (ibdt:129)
[ 3547]    pursuit ->   fixation (ibdt:129)
[ 3548]    pursuit ->   fixation (ibdt:129)
[ 3549]    pursuit ->   fixation (ibdt:129)
[ 3550]    pursuit ->   fixation (ibdt:129)
[ 3551]    pursuit ->   fixation (ibdt:129)
[ 3552]    pursuit ->   fixation (ibdt:129)
[ 3553]    pursuit ->   fixation (ibdt:129)
[ 3554]    pursuit ->   fixation (ibdt:129)
[ 3555]    pursuit ->   fixation (ibdt:129)
[ 3556]    pursuit ->   fixation (ibdt:129)
[ 3557]    pursuit ->   fixation (ibdt:129)
[ 3558]    pursuit ->   fixation (ibdt:129)
[ 3559]    saccade ->   fixation (ibdt:129)
[ 3560]    saccade ->   fixation (ibdt:129)
[ 3562]    saccade ->   fixation (ibdt:129)
[ 3563]    saccade ->   fixation (ibdt:129)
[ 3564]    saccade ->   fixation (ibdt:129)
[ 3565]    saccade ->   fixation (ibdt:129)
[ 3566]    saccade ->   fixation (ibdt:129)
[ 3567]    pursuit ->   fixation (ibdt:129)
[ 3568]    pursuit ->   fixation (ibdt:129)
[ 3569]    pursuit ->   fixation (ibdt:129)
[ 3570]    pursuit ->   fixation (ibdt:129)
[ 3571]    pursuit ->   fixation (ibdt:129)
[ 3572]    pursuit ->   fixation (ibdt:129)
[ 3573]    pursuit ->   fixation (ibdt:129)
[ 3574]    pursuit ->   fixation (ibdt:129)
[ 3575]    pursuit ->   fixation (ibdt:129)
[ 3576]    pursuit ->   fixation (ibdt:129)
[ 3577]    pursuit ->   fixation (ibdt:129)
[ 3578]    pursuit ->   fixation (ibdt:129)
[ 3579]    pursuit ->   fixation (ibdt:129)
[ 3580]    pursuit ->   fixation (ibdt:129)
[ 3581]    pursuit ->   fixation (ibdt:129)
[ 3582]    pursuit ->   fixation (ibdt:129)
[ 3583]    pursuit ->   fixation (ibdt:129)
[ 3584]    pursuit ->   fixation (ibdt:129)
[ 3585]    pursuit ->   fixation (ibdt:129)
[ 3586]    pursuit ->   fixation (ibdt:129)
[ 3587]    pursuit ->   fixation (ibdt:129)
[ 3588]    pursuit ->   fixation (ibdt:129)
[ 3589]    pursuit ->   fixation (ibdt:129)
[ 3590]    pursuit ->   fixation (ibdt:129)
[ 3591]    pursuit ->   fixation (ibdt:129)
[ 3592]    pursuit ->   fixation (ibdt:129)
[ 3593]    pursuit ->   fixation (ibdt:129)
[ 3594]    pursuit ->   fixation (ibdt:129)
[ 3595]    pursuit ->   fixation (ibdt:129)
[ 3596]    pursuit ->   fixation (ibdt:129)
[ 3597]    pursuit ->   fixation (ibdt:129)
[ 3598]    pursuit ->   fixation (ibdt:129)
[ 3599]    pursuit ->   fixation (ibdt:129)
[ 3600]    pursuit ->   fixation (ibdt:129)
[ 3601]    pursuit ->   fixation (ibdt:129)
[ 3602]    pursuit ->   fixation (ibdt:129)
[ 3603]    pursuit ->   fixation (ibdt:129)
[ 3604]    pursuit ->   fixation (ibdt:129)
[ 3605]    pursuit ->   fixation (ibdt:129)
[ 3606]    pursuit ->   fixation (ibdt:129)
[ 3607]    pursuit ->   fixation (ibdt:129)
[ 3608]    pursuit ->   fixation (ibdt:129)
[ 3609]    pursuit ->   fixation (ibdt:129)
[ 3610]    pursuit ->   fixation (ibdt:129)
[ 3611]    pursuit ->   fixation (ibdt:129)
[ 3612]    pursuit ->   fixation (ibdt:129)
[ 3613]    pursuit ->   fixation (ibdt:129)
[ 3614]    pursuit ->   fixation (ibdt:129)
[ 3615]    pursuit ->   fixation (ibdt:129)
[ 3616]    pursuit ->   fixation (ibdt:129)
[ 3617]    pursuit ->   fixation (ibdt:129)
[ 3618]    pursuit ->   fixation (ibdt:129)
[ 3619]    pursuit ->   fixation (ibdt:129)
[ 3620]    pursuit ->   fixation (ibdt:129)
[ 3621]    pursuit ->   fixation (ibdt:129)
[ 3622]    pursuit ->   fixation (ibdt:129)
[ 3623]    pursuit ->   fixation (ibdt:129)
[ 3624]    pursuit ->   fixation (ibdt:129)
[ 3625]    pursuit ->   fixation (ibdt:129)
[ 3626]    pursuit ->   fixation (ibdt:129)
[ 3627]    pursuit ->   fixation (ibdt:129)
[ 3628]    pursuit ->   fixation (ibdt:129)
[ 3629]    pursuit ->   fixation (ibdt:129)
[ 3630]    pursuit ->   fixation (ibdt:129)
[ 3690]    saccade ->   fixation (ibdt:129)
[ 3691]    saccade ->   fixation (ibdt:129)
[ 3692]    saccade ->   fixation (ibdt:129)
[ 3693]    saccade ->   fixation (ibdt:129)
[ 3789]    saccade ->   fixation (ibdt:129)
[ 3790]    saccade ->   fixation (ibdt:129)
[ 3791]    saccade ->   fixation (ibdt:129)
[ 3792]    saccade ->   fixation (ibdt:129)
[ 3794]    saccade ->   fixation (ibdt:129)
[ 3795]    saccade ->   fixation (ibdt:129)
[ 3796]    pursuit ->   fixation (ibdt:129)
[ 3797]    pursuit ->   fixation (ibdt:129)
[ 3798]    pursuit ->   fixation (ibdt:129)
[ 3799]    pursuit ->   fixation (ibdt:129)
[ 3800]    pursuit ->   fixation (ibdt:129)
[ 3801]    pursuit ->   fixation (ibdt:129)
[ 3802]    pursuit ->   fixation (ibdt:129)
[ 3803]    pursuit ->   fixation (ibdt:129)
[ 3804]    pursuit ->   fixation (ibdt:129)
[ 3805]    pursuit ->   fixation (ibdt:129)
[ 3806]    pursuit ->   fixation (ibdt:129)
[ 3807]    pursuit ->   fixation (ibdt:129)
[ 3808]    pursuit ->   fixation (ibdt:129)
[ 3809]    pursuit ->   fixation (ibdt:129)
[ 3810]    pursuit ->   fixation (ibdt:129)
[ 3811]    pursuit ->   fixation (ibdt:129)
[ 3812]    pursuit ->   fixation (ibdt:129)
[ 3813]    pursuit ->   fixation (ibdt:129)
[ 3814]    pursuit ->   fixation (ibdt:129)
[ 3815]    pursuit ->   fixation (ibdt:129)
[ 3816]    pursuit ->   fixation (ibdt:129)
[ 3817]    pursuit ->   fixation (ibdt:129)
[ 3818]    pursuit ->   fixation (ibdt:129)
[ 3819]    pursuit ->   fixation (ibdt:129)
[ 3820]    pursuit ->   fixation (ibdt:129)
[ 3821]    pursuit ->   fixation (ibdt:129)
[ 3822]    pursuit ->   fixation (ibdt:129)
[ 3823]    pursuit ->   fixation (ibdt:129)
[ 3824]    pursuit ->   fixation (ibdt:129)
[ 3825]    pursuit ->   fixation (ibdt:129)
[ 3826]    pursuit ->   fixation (ibdt:129)
[ 3827]    pursuit ->   fixation (ibdt:129)
[ 3828]    pursuit ->   fixation (ibdt:129)
[ 3829]    pursuit ->   fixation (ibdt:129)
[ 3830]    pursuit ->   fixation (ibdt:129)
[ 3831]    pursuit ->   fixation (ibdt:129)
[ 3832]    pursuit ->   fixation (ibdt:129)
[ 3833]    pursuit ->   fixation (ibdt:129)
[ 3834]    pursuit ->   fixation (ibdt:129)
[ 3835]    pursuit ->   fixation (ibdt:129)
[ 3836]    pursuit ->   fixation (ibdt:129)
[ 3837]    pursuit ->   fixation (ibdt:129)
[ 3838]    pursuit ->   fixation (ibdt:129)
[ 3839]    pursuit ->   fixation (ibdt:129)
[ 3840]    pursuit ->   fixation (ibdt:129)
[ 3841]    pursuit ->   fixation (ibdt:129)
[ 3842]    pursuit ->   fixation (ibdt:129)
[ 3843]    pursuit ->   fixation (ibdt:129)
[ 3844]    pursuit ->   fixation (ibdt:129)
[ 3845]    pursuit ->   fixation (ibdt:129)
[ 3846]    pursuit ->   fixation (ibdt:129)
[ 3847]    pursuit ->   fixation (ibdt:129)
[ 3848]    pursuit ->   fixation (ibdt:129)
